Species	HomeRange
Crocidura_leucodon	0.00037775
Crocidura_shantungensis	0.000123985
Crocuta_crocuta	103.0073626
Cryptoprocta_ferox	39.352
Cryptotis_parva	0.001982923
Ctenomys_australis	0.001511126
Ctenomys_flamarioni	0.000248289
Ctenomys_haigi	0.0000355
Ctenomys_minutus	0.000234343
Ctenomys_opimus	0.001162393
Ctenomys_rionegrensis	0.000034325
Ctenomys_talarum	3.90256E-05
Cuniculus_paca	0.483141176
Cuon_alpinus	37.33821429
Cynictis_penicillata	0.183327586
Cynomys_gunnisoni	0.000615162
Cynomys_ludovicianus	0.000106
Cystophora_cristata	52937.5
Dactylopsila_trivirgata	0.0799375
Dama_dama	1.266135176
Dama_mesopotamica	3.835863636
Damaliscus_lunatus	1321.166667
Dasycercus_blythi	0.162157895
Dasyprocta_leporina	0.093077457
Dasyprocta_punctata	0.017465231
Dasypus_novemcinctus	0.037588439
Dasyurus_geoffroii	13.40833333
Dasyurus_hallucatus	0.634134602
Dasyurus_maculatus	8.128763823
Dasyurus_viverrinus	0.332842593
Daubentonia_madagascariensis	3.859997222
Dendrohyrax_arboreus	0.001306
Dendrolagus_lumholtzi	0.237977333
Deomys_ferrugineus	0.003966
Dermanura_cinerea	2.935
Dermanura_watsoni	0.073555263
Desmodus_rotundus	0.165
Diceros_bicornis	24.83262353
Dicrostonyx_groenlandicus	0.009695006
Didelphis_albiventris	0.000791113
Didelphis_aurita	0.012462206
Didelphis_marsupialis	0.362791176
Didelphis_virginiana	0.566860877
Dipodomys_elator	0.000760606
Dipodomys_heermanni	0.0006022
Dipodomys_ingens	0.000174904
Dipodomys_merriami	0.01233327
Dipodomys_nitratoides	0.0019216
Dipodomys_ordii	0.015536043
Dipodomys_panamintinus	0.00968
Dipodomys_spectabilis	0.00356319
Dobsonia_minor	0.026790698
Dolichotis_patagonum	1.612333333
Dorcatragus_megalotis	0.3325
douglasii	0.036
Dromiciops_gliroides	0.006096019
Dryomys_nitedula	0.0186125
Dugong_dugon	196.8568333
Echymipera_kalubu	0.02792
Eira_barbara	11.65
Elaphurus_davidianus	7.8372
Elephantulus_brachyrhynchus	0.00125
Elephantulus_intufi	0.00435
Elephantulus_myurus	0.009244375
Elephas_maximus	339.4684211
Eliomys_quercinus	0.003821667
Enhydra_lutris	4.873122449
Eonycteris_spelaea	5.145686275
Epomophorus_crypturus	0.203861111
Epomophorus_wahlbergi	0.509892857
Eptesicus_nilssonii	5.107464878
Eptesicus_serotinus	11.50790698
Equus_africanus	32.14285714
Equus_ferus	32.25502383
Equus_hemionus	8340.201136
Equus_quagga	673.62875
Equus_zebra	9.4
Eremitalpa_granti	0.025453333
Erethizon_dorsatum	0.294623377
Erignathus_barbatus	73.82572373
Erinaceus_europaeus	0.156512941
Erythrocebus_patas	7.485555556
Eschrichtius_robustus	1382.814618
Euderma_maculatum	260.95
Eulemur_cinereiceps	
Eulemur_collaris	0.2058584
Eulemur_flavifrons	0.057570213
Eulemur_fulvus	0.2775
Eulemur_macaco	0.128333333
Eulemur_mongoz	0.015348333
Eulemur_rubriventer	0.19
Eulemur_rufifrons	43.24166667
Eulemur_rufus	
Eumetopias_jubatus	6159.079
Euryoryzomys_nitidus	0.004566667
Euryoryzomys_russatus	0.000941587
Eutamias_sibiricus	0.001932813
fascicularis	0.913
